Name,stn_number,latitude,longitude,x,y,elevation_m
Semkovo,N27,42.047345697706135,23.52556139230728,709012.9524343857,4658119.273838497,1622.6
Velingrad,N32,42.01570374,23.98830141,747435.0087210255,4655840.798595599,759.6
Bansko,N48,41.83003003429943,23.49700793623925,707353.0304369335,4633919.325250054,931.4
Pletena,N058,41.63395633678039,23.966178596019738,747067.7783271178,4613386.979574398,1014.0
Medeni_polyani,N067,41.859444,23.805151,732836.8143132882,4637975.729231012,1421.4
Velingrad_Zayche_blato,N072,42.02408734022799,23.9810299873352,746800.4164042783,4656750.741966229,789.0
Dolno_Draglishte,N081,41.933564,23.517573,708723.4373733797,4645465.444529311,839.15
Rilski_ezera_Hut,N094,42.22078799134181,23.322646915912628,691694.8977681936,4676902.270509925,2099.2
Lovna_Hut,N096,42.22899004523376,23.33897620439529,693017.674725658,4677849.909940176,1684.5
Breznitsa,N097,41.67241996264369,23.659993708133698,721429.9411970858,4616825.1836831495,768.61
Malyovitsa_Hut,N098,42.18872928525656,23.374233841896046,696051.910909433,4673459.741428164,1997.9
Garmen,N108,41.59334747644769,23.81004184484481,734208.0827228933,4608441.929641694,546.27
Riltsi,N110,42.040348,23.066407,671030.6536124304,4656321.827736235,378.0
Selishte,N122,41.818228,23.906711,741422.426439936,4633679.689301832,1278.5
Sarnitsa,N141,41.737159,24.025126,751575.5733713428,4625017.419651387,1207.1
Beli_Iskar,N142,42.27418301480722,23.540428876876835,709493.3246229137,4683344.415663535,1117.75
Popovi_livadi,N155,41.55292782443337,23.63544881343842,719792.1158301183,4603494.500077968,1405.79
Ortsevo,N164,41.96339,23.73019,726246.6061734043,4649317.250352151,1558.0
Tevno_ezero_Hut,N175,41.69889174905069,23.48283916711808,706596.9106516186,4619324.10305753,2525.05
Obidim,N221,41.787332,23.643128,719633.7736944135,4629541.467412796,1213.0
Boboshevo,N235,42.15150525703106,23.00988525152206,666061.9335243552,4668552.988397968,375.0
Mosomishte,N303,41.54693200075107,23.74968141317368,729341.0060558007,4603125.964522923,610.7
Musala,N306,42.1788523921505,23.58535051345825,713519.2144221435,4672870.03411347,2925.4
Grashevo,N313,41.961543442913126,23.92192214727401,742143.5774302244,4649636.693939097,1192.9
Golemo_selo,N321,42.28991542231248,23.04169625043869,668322.1699071656,4683984.458089197,502.1
Dabnitsa,N323,41.57205574182805,23.83362114429474,736251.1995085838,4606142.067846508,542.0
Balanovo,N330,42.24961411117056,23.060321509838104,669966.0293504561,4679546.361625655,475.0
Bodrost,N349,42.0453080679504,23.32558661699295,692468.40263392,4657423.469741327,1211.4
